name,,Code,latitude,longitude
LaSalle / Crawford,,6713,45.56776565,-73.57968807
29e avenue / St-Zotique,,6714,45.41714742,-73.6442247
LaSalle / 90e avenue,,6715,45.44454701,-73.57509077
Natatorium (LaSalle / Rolland),,6716,45.56387237,-73.65556777
Francis / Fleury,,6717,45.49456403,-73.63870203
de Kent / Victoria,,6718,45.466569,-73.623295
Grand Boulevard / Sherbrooke,,6719,45.46072936,-73.63407254
Park Row O / Sherbrooke,,6720,45.5594818,-73.535496
Ontario / Viau,,6721,45.57696323,-73.54683638
Métro Cadillac (de Cadillac / Sherbrooke),,6722,45.5749844,-73.53884876
du Quesne / Pierre-de-Coubertin,,6723,45.564944,-73.577639
26e avenue / Beaubien,,6724,45.47166863,-73.58264387
Léa-Roback / Sir-Georges-Etienne-Cartier,,6725,45.45085122,-73.5940272
Métro Monk (Allard / Beaulieu),,6726,45.56076193,-73.65056142
Hamel / Sauvé,,6727,45.48408129,-73.56091797
de la Sucrerie / Centre,,6728,45.52687028,-73.62672329
d'Outremont / Ogilvy,,6729,45.51642655,-73.55811238
St-André / Ste-Catherine,,6730,45.570081,-73.573047
35e avenue / Beaubien,,6731,45.564353,-73.571244
28e avenue / Rosemont,,6732,45.477923,-73.559038
Fortune / Wellington,,6733,45.54717204,-73.61852109
Villeray / de Normanville,,6734,45.54211889,-73.6225471
Lajeunesse / Villeray,,6735,45.56105928,-73.60396743
Villeray / St-Michel,,6736,45.55675103,-73.66716161
Métro Henri-Bourassa (Henri-Bourassa / Millen),,6737,45.552123,-73.630103
Jacques-Casault / Christophe-Colomb,,6738,45.50235036,-73.5665828
Union / René-Lévesque,,6739,45.58031455,-73.53531361
Pierre-de-Coubertin / Langelier,,6741,45.48631864,-73.57023329
Canning / Notre-Dame,,6742,45.46339729,-73.59643579
St-Patrick / Briand,,6743,45.494514,-73.583368
St-Marc / Sherbrooke,,6744,45.456355,-73.597557
Hamilton / Jolicoeur,,6745,45.52797967,-73.62388283
de l'Épée / Jean-Talon,,6746,45.52357479,-73.62344295
Métro Acadie (de l'Acadie / Beaumont),,6747,45.53050526,-73.61470833
Waverly / St-Zotique,,6748,45.49282531,-73.55797827
Young / Wellington,,6749,45.50642115,-73.55646551
St-Jacques / St-Laurent,,6750,45.52872356,-73.58385891
de Mentana / Gilford,,6752,45.52605851,-73.61296892
Hutchison / Beaubien,,6753,45.57414704,-73.57462138
Centre ÉPIC (St-Zotique / 40e avenue),,6754,45.45759682,-73.5905286
Eadie / Dubois,,6901,45.51689677,-73.56394887
Gare d'autocars de Montréal (Berri / Ontario),,6902,45.52108104,-73.56227517
Montcalm / Ontario,,6903,45.51666442,-73.57722044
St-Dominique / Napoléon,,6904,45.54205956,-73.59787345
Fabre / Beaubien,,6905,45.544377,-73.581018
